Table 1
اسم المادة,السعر,الاسم التركي,الاسم اللاتيني,اسم المجموعة,اسم المجموعة اللاتيني,الصور
ايس فيلتر قهوة,125.00, buzlu Filter Coffee,Iced Filter Coffee,المشروبات الباردة,Cold drinks,
ايس فيلتر قهوة بالحليب,140.00, buzlu Filter Coffee with Milk,Iced Filter Coffee with Milk,المشروبات الباردة,Cold drinks,
ايس فيلترة قهوة بالحليب كبير,180.00, buzlu Filter Coffee with Milk büyük,Iced Filter Coffee with Milk Large,المشروبات الباردة,Cold drinks,
ايس فيلترة قهوة بالحليب وسط,160.00, buzlu Filter Coffee with Milk orta,Iced Filter Coffee with Milk Medium,المشروبات الباردة,Cold drinks,
ايس فيلترة قهوة كبير,145.00, buzlu Filter Coffee büyük,Iced Filter Coffee Large,المشروبات الباردة,Cold drinks,
ايس فيلترة قهوة وسط,130.00, buzlu Filter Coffee Medium,Iced Filter Coffee Medium,المشروبات الباردة,Cold drinks,
ايس كراميل لاتيه,180.00, buzlu Caramel Latte,Iced Caramel Latte,المشروبات الباردة,Cold drinks,
ايس كراميل لاتيه كبير,220.00, buzlu Caramel Latte büyük,Iced Caramel Latte Large,المشروبات الباردة,Cold drinks,
ايس كراميل لاتيه وسط,200.00, buzlu Caramel Latte orta,Iced Caramel Latte Medium,المشروبات الباردة,Cold drinks,
ايس كراميل مكياتو,180.00, buzlu caramel macchiato,Iced caramel macchiato,المشروبات الباردة,Cold drinks,
ايس كراميل مكياتو كبير,220.00, buzlu caramel macchiato büyük,Iced caramel macchiato Large,المشروبات الباردة,Cold drinks,
ايس كراميل مكياتو وسط,200.00,buzlu caramel macchiato orta,Iced caramel macchiato Medium,المشروبات الباردة,Cold drinks,
ايس لاتيه,160.00,buzlu Latte,Iced Latte,المشروبات الباردة,Cold drinks,
ايس لاتيه كبير,200.00,buzlu Latte Large,Iced Latte Large,المشروبات الباردة,Cold drinks,
ايس لاتيه وسط,180.00,buzlu Latte Medium,Iced Latte Medium,المشروبات الباردة,Cold drinks,
ايس ماتشا لاتيه,190.00,buzlu Matcha latte,Iced Matcha latte,المشروبات الباردة,Cold drinks,
ايس ماتشا لاتيه كبير,250.00,buzlu Matcha latte büyük,Iced Matcha latte large,المشروبات الباردة,Cold drinks,
ايس ماتشا لاتيه وسط,220.00,buzlu Matcha latte orta,Iced Matcha latte Medium,المشروبات الباردة,Cold drinks,
ايس موكا لاتيه,200.00,buzlu Mocha Latte,Iced Mocha Latte,المشروبات الباردة,Cold drinks,
ايس موكا لاتيه كبير,240.00,buzlu Mocha Latte büyük,Iced Mocha Latte Large,المشروبات الباردة,Cold drinks,
ايس موكا لاتيه وسط,220.00,buzlu Mocha Latte orta,Iced Mocha Latte Medium,المشروبات الباردة,Cold drinks,
ايس وايت شوكليت موكا كبير,240.00,buzlu White Chocolate Mocha büyük,Iced White Chocolate Mocha Large,المشروبات الباردة,Cold drinks,
ايس وايت شوكليت موكا وسط,220.00,buzlu White Chocolate Mocha orta,Iced White Chocolate Mocha Medium,المشروبات الباردة,Cold drinks,
ايس وايت موكا,200.00,buzlu White Chocolate Mocha,Iced White Chocolate Mocha,المشروبات الباردة,Cold drinks,
تشيري بلوسوم ايس لاتيه كبير,240.00,Cherry Blossom Iced Latte büyük,Cherry Blossom Iced Latte Large,المشروبات الباردة,Cold drinks,
تشيري بلوسوم ايس لاتيه وسط,220.00,Cherry Blossom Iced Latte orta,Cherry Blossom Iced Latte Medium,المشروبات الباردة,Cold drinks,
شيري بلوسوم ايس لاتيه,180.00,Cherry Blossom Iced Latte,Cherry Blossom Iced Latte,المشروبات الباردة,Cold drinks,
كراميل بابلز ايس لاتيه,180.00,Caramel bubbles Iced Latte,Caramel bubbles Iced Latte,المشروبات الباردة,Cold drinks,
كراميل بابلز ايس لاتيه كبير,220.00,karamel bubbles Iced Latte büyük,Caramel bubbles Iced Latte Large,المشروبات الباردة,Cold drinks,
كراميل بابلز ايس لاتيه وسط,200.00,karamel bubbles Iced Latte orta,Caramel bubbles Iced Latte Medium,المشروبات الباردة,Cold drinks,
كوكو نت ايس لاتيه,180.00,Hinistan buzlu Latte,Coconut Iced Latte,المشروبات الباردة,Cold drinks,
كوكو نت ايس لاتيه كبير,220.00,Hinistan buzlu  Latte büyük,Coconut Iced Latte Large,المشروبات الباردة,Cold drinks,
كوكو نت ايس لاتيه وسط,200.00,Hinistan buzlu  Latte orta,Coconut Iced Latte Medium,المشروبات الباردة,Cold drinks,
اسبريسو,95.00,Espresso,Espresso,المشروبات الساخنة,Hot drinks,
اسبريسو افوكاتو,195.00,Espresso Affogato,Espresso Affogato,المشروبات الساخنة,Hot drinks,
اسبريسو ريستريتو,95.00,Espresso Ristretto,Espresso Ristretto,المشروبات الساخنة,Hot drinks,
اسبريسو مكياتو,120.00,Espresso Macchiato,Espresso Macchiato,المشروبات الساخنة,Hot drinks,
امريكانو,120.00,Americano,Americano,المشروبات الساخنة,Hot drinks,
امريكانو وسط,140.00,Americano orta,Americano Medium,المشروبات الساخنة,Hot drinks,
بترسكوتش لاتيه,180.00,Butter scotch Latte,Butter scotch Latte,المشروبات الساخنة,Hot drinks,
بترسكوتش لاتيه وسط,200.00,Butter scotch Latte Medium,Butter scotch Latte Medium,المشروبات الساخنة,Hot drinks,
بيكو موكا,200.00,Piko Mocha,Piko Mocha,المشروبات الساخنة,Hot drinks,
بيكو موكا وسط,220.00,Piko Mocha Medium,Piko Mocha Medium,المشروبات الساخنة,Hot drinks,
بينك بيري ماتشا لاتيه,180.00,Pink Perry matcha latta,Pink Perry matcha latta,المشروبات الساخنة,Hot drinks,
بينك ماتشا لاتيه,180.00,Pink matcha latte,Pink matcha latte,المشروبات الساخنة,Hot drinks,
تشيز كيك لاتيه,200.00,Cheese cake Latte,Cheese cake Latte,المشروبات الساخنة,Hot drinks,
تشيز كيك لاتيه وسط,220.00,Cheese cake Latte orta,Cheese cake Latte Medium,المشروبات الساخنة,Hot drinks,
توفي نات لاتيه,180.00,Toffee fındık Latte,Toffee Nut Latte,المشروبات الساخنة,Hot drinks,
توفي نات لاتيه وسط,220.00,Toffee fındık Latte orta,Toffee Nut Latte Medium,المشروبات الساخنة,Hot drinks,
دبل اسبريسو,110.00,Double Espresso,Double Espresso,المشروبات الساخنة,Hot drinks,
زنجبيل وليمون,120.00,zencefil ve limon,Ginger and lemon,المشروبات الساخنة,Hot drinks,
زهورات,120.00,Flavoured Çay,Flavoured tea,المشروبات الساخنة,Hot drinks,
زيبرا موكا,200.00,Zebra Mocha,Zebra Mocha,المشروبات الساخنة,Hot drinks,
زيبرا موكا وسط,220.00,Zebra Mocha orta,Zebra Mocha Medium,المشروبات الساخنة,Hot drinks,
زيزفون,120.00,Lime blossom Çay,Lime blossom tea,المشروبات الساخنة,Hot drinks,
سبانش لاتيه,180.00,Spanish Latte,Spanish Latte,المشروبات الساخنة,Hot drinks,
سبانش لاتيه وسط,200.00,Spanish Latte orta,Spanish Latte Medium,المشروبات الساخنة,Hot drinks,
ستروبيري ماتشا لاتيه,180.00,Strawberry matcha latte,Strawberry matcha latte,المشروبات الساخنة,Hot drinks,
ستروبيري موكا لاتيه,180.00,Strawberry Mocha Latte,Strawberry Mocha Latte,المشروبات الساخنة,Hot drinks,
ستروبيري موكا لاتيه وسط,200.00,Strawberry mocha latte orta,Strawberry mocha latte Medium,المشروبات الساخنة,Hot drinks,
سحلب بالقرفة,150.00,Sahlab with Cinnamon,Sahlab with Cinnamon,المشروبات الساخنة,Hot drinks,
سلتد كراميل لاتيه,180.00,Salted Caramel Latte,Salted Caramel Latte,المشروبات الساخنة,Hot drinks,
سلتد كراميل لاتيه وسط,200.00,Salted Caramel Latte orta,Salted Caramel Latte Medium,المشروبات الساخنة,Hot drinks,
شاي,40.00,Çay,Tea,المشروبات الساخنة,Hot drinks,
شاي تي لاتيه,180.00,Çay Latte,Chai Tea Latte,المشروبات الساخنة,Hot drinks,
شاي تي لاتيه وسط,200.00,Çay Latte orta,Chai Tea Latte Medium,المشروبات الساخنة,Hot drinks,
فانيليا لاتيه,160.00,Vanilla Latte,Vanilla Latte,المشروبات الساخنة,Hot drinks,
فانيليا لاتيه وسط,180.00,Vanilla Latte orta,Vanilla Latte Medium,المشروبات الساخنة,Hot drinks,
فلات وايت,140.00,Flat White,Flat White,المشروبات الساخنة,Hot drinks,
فلات وايت وسط,160.00,Flat White orta,Flat White Medium,المشروبات الساخنة,Hot drinks,
فلتر قهوة,140.00,Filter Coffee,Filter Coffee,المشروبات الساخنة,Hot drinks,
فلتر قهوة بالحليب,160.00,Filter Coffee with Milk,Filter Coffee with Milk,المشروبات الساخنة,Hot drinks,
فلتر قهوة بالحليب وسط,180.00,Filter Coffee with Milk orta,Filter Coffee with Milk Medium,المشروبات الساخنة,Hot drinks,
فلتر قهوة وسط,160.00,Filter Coffee orta,Filter Coffee Medium,المشروبات الساخنة,Hot drinks,
في 60,195.00,V60,V60,المشروبات الساخنة,Hot drinks,
في 60 وسط,220.00,V60 orta,V60 Medium,المشروبات الساخنة,Hot drinks,
قهوة تركية,95.00,Turkish Coffee,Turkish Coffee,المشروبات الساخنة,Hot drinks,
قهوة تركية دبل,135.00,Double Turkish Coffee,Double Turkish Coffee,المشروبات الساخنة,Hot drinks,
قهوة عربية,95.00,Cardamom Coffee,Cardamom Coffee,المشروبات الساخنة,Hot drinks,
قهوة عربية دبل,135.00,Double cardamom Coffee,Double cardamom Coffee,المشروبات الساخنة,Hot drinks,
كابتشينو,140.00,Cappuccino,Cappuccino,المشروبات الساخنة,Hot drinks,
كابتشينو وسط,160.00,Cappuccino orta,Cappuccino Medium,المشروبات الساخنة,Hot drinks,
كراميل لاتيه,180.00,Caramel Latte,Caramel Latte,المشروبات الساخنة,Hot drinks,
كراميل لاتيه وسط,200.00,Caramel Latte orta,Caramel Latte Medium,المشروبات الساخنة,Hot drinks,
كراميل مكياتو,180.00,Caramel Macchiato,Caramel Macchiato,المشروبات الساخنة,Hot drinks,
كراميل مكياتو وسط,200.00,karamel macchiato orta,Caramel macchiato medium,المشروبات الساخنة,Hot drinks,
كورتادو,140.00,Cortado,Cortado,المشروبات الساخنة,Hot drinks,
لاتيه,140.00,Latte,Latte,المشروبات الساخنة,Hot drinks,
لاتيه وسط,160.00,Latte Medium,Latte Medium,المشروبات الساخنة,Hot drinks,
ماتشا لاتيه,180.00,Matcha latte,Matcha latte,المشروبات الساخنة,Hot drinks,
موكا لاتيه,180.00,Mocha Latte,Mocha Latte,المشروبات الساخنة,Hot drinks,
موكا لاتيه وسط,200.00,Mocha Latte orta,Mocha Latte Medium,المشروبات الساخنة,Hot drinks,
هوت شوكلت,200.00,Hot Chocolate,Hot Chocolate,المشروبات الساخنة,Hot drinks,
هوت شوكلت وسط,220.00,Hot Chocolate orta,Hot Chocolate Medium,المشروبات الساخنة,Hot drinks,
وايت موكا لاتيه,180.00,White Mocha Latte,White Mocha Latte,المشروبات الساخنة,Hot drinks,
وايت موكا لاتيه وسط,200.00,White Mocha Latte orta,White Mocha Latte Medium,المشروبات الساخنة,Hot drinks,
وايت هوت شوكلت,200.00,White Hot Chocolate,White Hot Chocolate,المشروبات الساخنة,Hot drinks,
وايت هوت شوكلت وسط,220.00,White Hot Chocolate orta,White Hot Chocolate Medium,المشروبات الساخنة,Hot drinks,
موهيتو اناناس ريد بول وسط,240.00,Pineapple mojito RedBull orta,Pineapple mojito RedBull medium,الموهيتو,Mojitos,
موهيتو اناناس سفن وسط,220.00,Pineapple mojito 7up orta,Pineapple mojito 7up medium,الموهيتو,Mojitos,
موهيتو اناناس صودا وسط,200.00,Pineapple mojito soda orta,Pineapple mojito soda medium,الموهيتو,Mojitos,
موهيتو باشن برتقال ريد بول وسط,240.00,Passion orange mojito RedBull orta,Passion orange mojito RedBull medium,الموهيتو,Mojitos,
موهيتو باشن برتقال سفن وسط,220.00,Passion orange mojito 7up orta,Passion orange mojito 7up medium,الموهيتو,Mojitos,
موهيتو باشن برتقال صودا وسط,200.00,Passion orange mojito soda orta,Passion orange mojito soda medium,الموهيتو,Mojitos,
