Table 1
اسم المادة,السعر,الاسم التركي,الاسم اللاتيني,اسم المجموعة,اسم المجموعة اللاتيني,الصور
سموزي ليمون مع رمان وسط,250.00,Pink lemonade orta,Pink lemonade medium,سموزيات,Smoothies,
سموزي ليموناضة بالفريز وسط,180.00,Strawberry lemonade smoothie orta,Strawberry lemonade smoothie medium,سموزيات,Smoothies,
سموزي مانجو فريز وسط,240.00,Strawberry mango smoothie orta,Strawberry mango smoothie medium,سموزيات,Smoothies,
سموزي مانجو وسط,240.00,Mango smoothie orta,Mango smoothie medium,سموزيات,Smoothies,
سموزي ميكس بيريز وسط,240.00,Mix berries smoothie orta,Mix berries smoothie medium,سموزيات,Smoothies,
عصير برتقال,170.00,portakal juice,Orange juice,عصائر فريش,Fresh juices,
عصير برتقال و جزر,170.00,portakal carrot,Orange carrot,عصائر فريش,Fresh juices,
عصير برتقال و جزر وسط,190.00,Orange havuç orta,Orange carrot medium,عصائر فريش,Fresh juices,
عصير برتقال و ليمون,170.00,portakal lemon,Orange lemon,عصائر فريش,Fresh juices,
عصير برتقال و ليمون وسط,190.00,portakal lemon orta,Orange lemon medium,عصائر فريش,Fresh juices,
عصير برتقال وسط,190.00,portakal juice orta,Orange juice medium,عصائر فريش,Fresh juices,
عصير تفاح,170.00,Apple juice,Apple juice,عصائر فريش,Fresh juices,
عصير تفاح و جزر,170.00,Apple carrot,Apple carrot,عصائر فريش,Fresh juices,
عصير تفاح و جزر وسط,190.00,elma havuç orta,Apple carrot medium,عصائر فريش,Fresh juices,
عصير تفاح وسط,190.00,elma suyu orta,Apple juice medium,عصائر فريش,Fresh juices,
عصير جزر,170.00,havuç juice,Carrot juice,عصائر فريش,Fresh juices,
عصير جزر وسط,170.00,havuç suyu orta,Carrot juice medium,عصائر فريش,Fresh juices,
عصير ليمون,170.00,Lemonta,Lemonade,عصائر فريش,Fresh juices,
عصير ليمون وسط,190.00,Lemonata orta,Lemonade medium,عصائر فريش,Fresh juices,
بيستاشيو فراب وسط,275.00,Pistachio frappucino orta,Pistachio frappucino Medium,فرابتشينو,Frappuccino,
فانيليا فراب وسط,250.00,Vanilla frappucino orta,Vanilla frappucino Medium,فرابتشينو,Frappuccino,
كاسة بوظة وسط,210.00,buzlu cream orta,Ice cream Medium,فرابتشينو,Frappuccino,
كراميل فرابتشينو وسط,250.00,Caramel Frappucino orta,Caramel Frappucino Medium,فرابتشينو,Frappuccino,
كوكيز فراب وسط,250.00,Cookies frappucino orta,Cookies frappucino Medium,فرابتشينو,Frappuccino,
موكا فراب وسط,250.00,Mocha Frappucino orta,Mocha Frappucino Medium,فرابتشينو,Frappuccino,
كول لايم,160.00,Cool lime,Cool lime,مشروبات بابلز شيك,Bubble drinks,
كول لايم ابل بابلز,180.00,Cool lime apple bubbles,Cool lime apple bubbles,مشروبات بابلز شيك,Bubble drinks,
كول لايم ابل بابلز كبير,220.00,Cool lime apple bubbles büyük,Cool lime apple bubbles Large,مشروبات بابلز شيك,Bubble drinks,
كول لايم ابل بابلز وسط,200.00,Cool lime apple bubbles orta,Cool lime apple bubbles Medium,مشروبات بابلز شيك,Bubble drinks,
كول لايم بلو بيري بابلز,180.00,Cool lime blueberry bubbles,Cool lime blueberry bubbles,مشروبات بابلز شيك,Bubble drinks,
كول لايم بلو بيري بابلز كبير,220.00,Cool lime blueberry bubbles büyük,Cool lime blueberry bubbles large,مشروبات بابلز شيك,Bubble drinks,
كول لايم بلو بيري بابلز وسط,200.00,Cool lime blueberry bubbles Medium,Cool lime blueberry bubbles Medium,مشروبات بابلز شيك,Bubble drinks,
كول لايم سترو بيري بابلز,180.00,Cool lime strawberry bubbles,Cool lime strawberry bubbles,مشروبات بابلز شيك,Bubble drinks,
كول لايم سترو بيري بابلز كبير,220.00,Cool lime strawberry bubbles büyük,Cool lime strawberry bubbles Large,مشروبات بابلز شيك,Bubble drinks,
كول لايم سترو بيري بابلز وسط,200.00,Cool lime strawberry bubbles orta,Cool lime strawberry bubbles Medium,مشروبات بابلز شيك,Bubble drinks,
كول لايم سترو بيري ميكس,160.00,Cool lime strawberry mix,Cool lime strawberry mix,مشروبات بابلز شيك,Bubble drinks,
كول لايم سترو بيري ميكس كبير,200.00,Cool lime strawberry mix büyük,Cool lime strawberry mix large,مشروبات بابلز شيك,Bubble drinks,
كول لايم سترو بيري ميكس وسط,180.00,Cool lime strawberry mix orta,Cool lime strawberry mix Medium,مشروبات بابلز شيك,Bubble drinks,
كول لايم كبير,200.00,Cool lime büyük,Cool lime large,مشروبات بابلز شيك,Bubble drinks,
كول لايم مانجو ميكس,160.00,Cool lime mango mix,Cool lime mango mix,مشروبات بابلز شيك,Bubble drinks,
كول لايم مانجو ميكس كبير,200.00,Cool lime mango mix büyük,Cool lime mango mix large,مشروبات بابلز شيك,Bubble drinks,
كول لايم مانجو ميكس وسط,180.00,Cool lime mango mix orta,Cool lime mango mix Medium,مشروبات بابلز شيك,Bubble drinks,
كول لايم وسط,180.00,Cool lime Medium,Cool lime Medium,مشروبات بابلز شيك,Bubble drinks,
هيبسكوس,160.00,Hibiscus,Hibiscus,مشروبات بابلز شيك,Bubble drinks,
هيبسكوس ابل بابلز,180.00,Hibiscus apple bubbles,Hibiscus apple bubbles,مشروبات بابلز شيك,Bubble drinks,
هيبسكوس ابل بابلز كبير,220.00,Hibiscus apple bubbles large,Hibiscus apple bubbles large,مشروبات بابلز شيك,Bubble drinks,
هيبسكوس ابل بابلز وسط,200.00,Hibiscus apple bubbles Medium,Hibiscus apple bubbles Medium,مشروبات بابلز شيك,Bubble drinks,
هيبسكوس بلو بيري بابلز,180.00,Hibiscus blueberry bubbles,Hibiscus blueberry bubbles,مشروبات بابلز شيك,Bubble drinks,
هيبسكوس بلو بيري ميكس,160.00,Hibiscus blueberry mix,Hibiscus blueberry mix,مشروبات بابلز شيك,Bubble drinks,
هيبسكوس بلو بيري ميكس كبير,200.00,Hibiscus blueberry mix büyük,Hibiscus blueberry mix large,مشروبات بابلز شيك,Bubble drinks,
هيبسكوس بلو بيري ميكس وسط,180.00,Hibiscus blueberry mix orta,Hibiscus blueberry mix Medium,مشروبات بابلز شيك,Bubble drinks,
هيبسكوس بلوبيري بابلز كبير,220.00,Hibiscus blueberry bubbles büyük,Hibiscus blueberry bubbles large,مشروبات بابلز شيك,Bubble drinks,
هيبسكوس بلوبيري بابلز وسط,200.00,Hibiscus blueberry bubbles orta,Hibiscus blueberry bubbles Medium,مشروبات بابلز شيك,Bubble drinks,
هيبسكوس سترو بيري بابلز,180.00,Hibiscus ÇİLEK bubbles,Hibiscus strawberry bubbles,مشروبات بابلز شيك,Bubble drinks,
هيبسكوس سترو بيري ميكس,160.00,HibiscusÇİLEK Mix,Hibiscus strawberry Mix,مشروبات بابلز شيك,Bubble drinks,
هيبسكوس سترو بيري ميكس كبير,200.00,Hibiscus ÇİLEK mix büyük,Hibiscus strawberry mix large,مشروبات بابلز شيك,Bubble drinks,
هيبسكوس سترو بيري ميكس وسط,180.00,Hibiscus ÇİLEKmix orta,Hibiscus strawberry mix Medium,مشروبات بابلز شيك,Bubble drinks,
هيبسكوس ستروبيري بابلز كبير,220.00,Hibiscus ÇİLEK bubbles büyük,Hibiscus strawberry bubbles large,مشروبات بابلز شيك,Bubble drinks,
هيبسكوس ستروبيري بابلز وسط,200.00,Hibiscus ÇİLEK bubbles orta,Hibiscus strawberry bubbles Medium,مشروبات بابلز شيك,Bubble drinks,
هيبسكوس كبير,200.00,Hibiscus büyük,Hibiscus large,مشروبات بابلز شيك,Bubble drinks,
هيبسكوس وسط,180.00,Hibiscus orta,Hibiscus Medium,مشروبات بابلز شيك,Bubble drinks,
ميلك شيك اوريو وسط,275.00,Oreo milkshake orta,Oreo milkshake medium,ميلك شيك,Milkshakes,
ميلك شيك شوكولا وسط,275.00,Chocolate milkshake orta,Chocolate milkshake medium,ميلك شيك,Milkshakes,
ميلك شيك فانيليا وسط,275.00,Vanilla milkshake orta,Vanilla milkshake medium,ميلك شيك,Milkshakes,
ميلك شيك فريز وسط,275.00,ÇİLEK milkshake orta,Strawberry milkshake medium,ميلك شيك,Milkshakes,
ميلك شيك كراميل وسط,275.00,karamel milkshake orta,Caramel milkshake medium,ميلك شيك,Milkshakes,
ميلك شيك كوكيز وسط,275.00,Cookies milkshake orta,Cookies milkshake medium,ميلك شيك,Milkshakes,
ميلك شيك لوتوس وسط,275.00,Lotus milkshake orta,Lotus milkshake medium,ميلك شيك,Milkshakes,
