Name_Ar,Price,Name_tr,Name_En,Category Name,Image
توفي نات لاتيه وسط,220.00,Toffee fındık Latte orta,Toffee Nut Latte Medium,Hot Coffee,
دبل اسبريسو,110.00,Double Espresso,Double Espresso,Hot Coffee,
زيبرا موكا,200.00,Zebra Mocha,Zebra Mocha,Hot Coffee,
زيبرا موكا وسط,220.00,Zebra Mocha orta,Zebra Mocha Medium,Hot Coffee,
سبانش لاتيه,180.00,Spanish Latte,Spanish Latte,Hot Coffee,
سبانش لاتيه وسط,200.00,Spanish Latte orta,Spanish Latte Medium,Hot Coffee,
ستروبيري ماتشا لاتيه,180.00,Çilekli matcha latte,Strawberry matcha latte,Hot Coffee,
ستروبيري موكا لاتيه,180.00,Çilekli Mocha Latte,Strawberry Mocha Latte,Hot Coffee,
ستروبيري موكا لاتيه وسط,200.00,Çilekli mocha latte orta,Strawberry mocha latte Medium,Hot Coffee,
سحلب بالقرفة,150.00,Sahlab with Cinnamon,Sahlab with Cinnamon,Hot Coffee,
سلتد كراميل لاتيه,180.00,Salted Caramel Latte,Salted Caramel Latte,Hot Coffee,
سلتد كراميل لاتيه وسط,200.00,Salted Caramel Latte orta,Salted Caramel Latte Medium,Hot Coffee,
فانيليا لاتيه,160.00,Vanilla Latte,Vanilla Latte,Hot Coffee,
فانيليا لاتيه وسط,180.00,Vanilla Latte orta,Vanilla Latte Medium,Hot Coffee,
فلات وايت,140.00,Flat White,Flat White,Hot Coffee,
فلات وايت وسط,160.00,Flat White orta,Flat White Medium,Hot Coffee,
فلتر قهوة,140.00,Filter kahve,Filter Coffee,Hot Coffee,
فلتر قهوة بالحليب,160.00,Filter Coffee with Milk,Filter Coffee with Milk,Hot Coffee,
فلتر قهوة بالحليب وسط,180.00,Filter Coffee with Milk orta,Filter Coffee with Milk Medium,Hot Coffee,
فلتر قهوة وسط,160.00,Filter Coffee orta,Filter Coffee Medium,Hot Coffee,
في 60,195.00,V60,V60,Hot Coffee,
في 60 وسط,220.00,V60 orta,V60 Medium,Hot Coffee,
قهوة تركية,95.00,Türk kahvesi,Turkish Coffee,Hot Coffee,
قهوة تركية دبل,135.00,Double Türk kahvesi,Double Turkish Coffee,Hot Coffee,
قهوة عربية,95.00,Cardamom  kahvesi,Cardamom Coffee,Hot Coffee,
قهوة عربية دبل,135.00,Double cardamom  kahvesi,Double cardamom Coffee,Hot Coffee,
كابتشينو,140.00,Cappuccino,Cappuccino,Hot Coffee,
كابتشينو وسط,160.00,Cappuccino orta,Cappuccino Medium,Hot Coffee,
كراميل لاتيه,180.00,karamel Latte,Caramel Latte,Hot Coffee,
كراميل لاتيه وسط,200.00,karamel Latte orta,Caramel Latte Medium,Hot Coffee,
كراميل مكياتو,180.00,karamel Macchiato,Caramel Macchiato,Hot Coffee,
كراميل مكياتو وسط,200.00,karamel macchiato orta,Caramel macchiato medium,Hot Coffee,
كورتادو,140.00,kortadu,Cortado,Hot Coffee,
لاتيه,140.00,Latte,Latte,Hot Coffee,
لاتيه وسط,160.00,Latte orta,Latte Medium,Hot Coffee,
موكا لاتيه,180.00,Mocha Latte,Mocha Latte,Hot Coffee,
موكا لاتيه وسط,200.00,Mocha Latte orta,Mocha Latte Medium,Hot Coffee,
هوت شوكلت,200.00,Sıcak çikolata,Hot Chocolate,Hot Coffee,
هوت شوكلت وسط,220.00,Sıcak çikolata orta,Hot Chocolate Medium,Hot Coffee,
وايت موكا لاتيه,180.00,Beyaz Mocha Latte,White Mocha Latte,Hot Coffee,
وايت موكا لاتيه وسط,200.00,Beyaz Mocha Latte orta,White Mocha Latte Medium,Hot Coffee,
وايت هوت شوكلت,200.00,Beyaz Hot Chocolate,White Hot Chocolate,Hot Coffee,
وايت هوت شوكلت وسط,220.00,Beyaz Hot Chocolate orta,White Hot Chocolate Medium,Hot Coffee,
ايس امريكانو,130.00, buzlu Americano,Iced Americano,Ice Coffee,
ايس ستروبيري موكا,200.00, buzlu ÇİLEK mocha,Iced strawberry mocha,Ice Coffee,
ايس ستروبيري موكا كبير,240.00, buzlu ÇİLEK mocha büyük,Iced strawberry mocha large,Ice Coffee,
ايس ستروبيري موكا وسط,220.00, buzlu ÇİLEK mocha orta,Iced strawberry mocha medium,Ice Coffee,
ايس سلتد كراميل لاتيه,180.00, buzlu Salted Caramel Latte,Iced Salted Caramel Latte,Ice Coffee,
ايس سلتد كراميل لاتيه كبير,220.00, buzlu salted caramel latte büyük,Iced salted caramel latte large,Ice Coffee,
ايس سلتد كراميل وسط,200.00, buzlu Salted Caramel Latte orta,Iced Salted Caramel Latte medium,Ice Coffee,
ايس شاي تي لاتيه,200.00, buzlu chai tea latte,Iced chai tea latte,Ice Coffee,
ايس شاي تي لاتيه كبير,240.00, buzlu chai tea latte büyük,Iced chai tea latte Large,Ice Coffee,
ايس شاي تي لاتيه وسط,220.00, buzlu chai tea latte orta,Iced chai tea latte medium,Ice Coffee,
ايس فانيليا لاتيه,180.00, buzlu Vanilla Latte,Iced Vanilla Latte,Ice Coffee,
ايس فانيليا لاتيه كبير,220.00, buzlu Vanilla Latte büyük,Iced Vanilla Latte Large,Ice Coffee,
ايس فانيليا لاتيه وسط,200.00, buzlu Vanilla Latte orta,Iced Vanilla Latte Medium,Ice Coffee,
ايس فيلتر قهوة,125.00, buzlu Filtere kahve,Iced Filter Coffee,Ice Coffee,
ايس فيلتر قهوة بالحليب,140.00, buzlu Filter Coffee with Milk,Iced Filter Coffee with Milk,Ice Coffee,
ايس فيلترة قهوة بالحليب كبير,180.00, buzlu Filter Coffee with Milk büyük,Iced Filter Coffee with Milk Large,Ice Coffee,
ايس فيلترة قهوة بالحليب وسط,160.00, buzlu Filter Coffee with Milk orta,Iced Filter Coffee with Milk Medium,Ice Coffee,
ايس فيلترة قهوة كبير,145.00, buzlu Filter Coffee büyük,Iced Filter Coffee Large,Ice Coffee,
ايس فيلترة قهوة وسط,130.00, buzlu Filter Coffee orta,Iced Filter Coffee Medium,Ice Coffee,
ايس كراميل لاتيه,180.00, buzlu Caramel Latte,Iced Caramel Latte,Ice Coffee,
ايس كراميل لاتيه كبير,220.00, buzlu Caramel Latte büyük,Iced Caramel Latte Large,Ice Coffee,
ايس كراميل لاتيه وسط,200.00, buzlu Caramel Latte orta,Iced Caramel Latte Medium,Ice Coffee,
ايس كراميل مكياتو,180.00, buzlu caramel macchiato,Iced caramel macchiato,Ice Coffee,
ايس كراميل مكياتو كبير,220.00, buzlu karamel macchiato büyük,Iced caramel macchiato Large,Ice Coffee,
ايس كراميل مكياتو وسط,200.00,buzlu karamel macchiato orta,Iced caramel macchiato Medium,Ice Coffee,
ايس لاتيه,160.00,buzlu Latte,Iced Latte,Ice Coffee,
ايس لاتيه كبير,200.00,buzlu Latte büyük,Iced Latte Large,Ice Coffee,
ايس لاتيه وسط,180.00,buzlu Latte orta,Iced Latte Medium,Ice Coffee,
ايس ماتشا لاتيه,190.00,buzlu Matcha latte,Iced Matcha latte,Ice Coffee,
ايس ماتشا لاتيه كبير,250.00,buzlu Matcha latte büyük,Iced Matcha latte large,Ice Coffee,
ايس ماتشا لاتيه وسط,220.00,buzlu Matcha latte orta,Iced Matcha latte Medium,Ice Coffee,
ايس موكا لاتيه,200.00,buzlu Mocha Latte,Iced Mocha Latte,Ice Coffee,
ايس موكا لاتيه كبير,240.00,buzlu Mocha Latte büyük,Iced Mocha Latte Large,Ice Coffee,
ايس موكا لاتيه وسط,220.00,buzlu Mocha Latte orta,Iced Mocha Latte Medium,Ice Coffee,
ايس وايت شوكليت موكا كبير,240.00,buzlu White Chocolate Mocha büyük,Iced White Chocolate Mocha Large,Ice Coffee,
ايس وايت شوكليت موكا وسط,220.00,buzlu White Chocolate Mocha orta,Iced White Chocolate Mocha Medium,Ice Coffee,
ايس وايت موكا,200.00,buzlu White Chocolate Mocha,Iced White Chocolate Mocha,Ice Coffee,
تشيري بلوسوم ايس لاتيه كبير,240.00,Cherry Blossom Iced Latte büyük,Cherry Blossom Iced Latte Large,Ice Coffee,
تشيري بلوسوم ايس لاتيه وسط,220.00,Cherry Blossom Iced Latte orta,Cherry Blossom Iced Latte Medium,Ice Coffee,
شيري بلوسوم ايس لاتيه,180.00,Cherry Blossom Iced Latte,Cherry Blossom Iced Latte,Ice Coffee,
كراميل بابلز ايس لاتيه,180.00,Karamel bubbles Iced Latte,Caramel bubbles Iced Latte,Ice Coffee,
كراميل بابلز ايس لاتيه كبير,220.00,karamel bubbles Iced Latte büyük,Caramel bubbles Iced Latte Large,Ice Coffee,
كراميل بابلز ايس لاتيه وسط,200.00,karamel bubbles Iced Latte orta,Caramel bubbles Iced Latte Medium,Ice Coffee,
كوكو نت ايس لاتيه,180.00,Hinistan buzlu Latte,Coconut Iced Latte,Ice Coffee,
كوكو نت ايس لاتيه كبير,220.00,Hindistan cevizi  buzlu  Latte büyük,Coconut Iced Latte Large,Ice Coffee,
كوكو نت ايس لاتيه وسط,200.00,Hindistan cevizi buzlu  Latte orta,Coconut Iced Latte Medium,Ice Coffee,
كاسة بوظة وسط,210.00,Dondurma orta ,Ice cream Medium,Ice Cream,
ايس ستروبري ماتشا لاتيه,190.00,  buzlu ÇİLEK matcha latte,Iced Strawberry matcha latte,Matcha,
ايس ستروبري ماتشا لاتيه كبير,250.00, buzlu ÇİLEK matcha latte Soğuk,Iced Strawberry matcha latte large,Matcha,
ايس ستروبري ماتشا لاتيه وسط,220.00, buzlu ÇİLEK matcha latte orta,Iced Strawberry matcha latte Medium,Matcha,
ماتشا لاتيه,180.00,Matcha latte,Matcha latte,Matcha,
ميلك شيك اوريو وسط,275.00,Oreo milkshake orta,Oreo milkshake medium,Milkshakes,
ميلك شيك شوكولا وسط,275.00,Chocolate milkshake orta,Chocolate milkshake medium,Milkshakes,
ميلك شيك فانيليا وسط,275.00,Vanilla milkshake orta,Vanilla milkshake medium,Milkshakes,
ميلك شيك فريز وسط,275.00,ÇİLEK milkshake orta,Strawberry milkshake medium,Milkshakes,
ميلك شيك كراميل وسط,275.00,karamel milkshake orta,Caramel milkshake medium,Milkshakes,
ميلك شيك كوكيز وسط,275.00,Cookies milkshake orta,Cookies milkshake medium,Milkshakes,
ميلك شيك لوتوس وسط,275.00,Lotus milkshake orta,Lotus milkshake medium,Milkshakes,
موهيتو اناناس ريد بول وسط,240.00,Ananas mojito RedBull orta,Pineapple mojito RedBull medium,Mojitos,
موهيتو اناناس سفن وسط,220.00,Ananas  mojito 7up orta,Pineapple mojito 7up medium,Mojitos,
موهيتو اناناس صودا وسط,200.00,Ananas  mojito soda orta,Pineapple mojito soda medium,Mojitos,
موهيتو باشن برتقال ريد بول وسط,240.00,Passion portakal mojito RedBull orta,Passion orange mojito RedBull medium,Mojitos,
موهيتو باشن برتقال سفن وسط,220.00,Passion portakal mojito 7up orta,Passion orange mojito 7up medium,Mojitos,
موهيتو باشن برتقال صودا وسط,200.00,Passion portakal mojito soda orta,Passion orange mojito soda medium,Mojitos,
موهيتو باشن دراق ريد بول وسط,240.00,Passion Şeftali mojito RedBull orta,Passion peach mojito RedBull medium,Mojitos,
موهيتو باشن دراق سفن وسط,220.00,Passion Şeftali mojito 7up orta,Passion peach mojito 7up medium,Mojitos,
موهيتو باشن دراق صودا وسط,200.00,Passion Şeftali mojito soda orta,Passion peach mojito soda medium,Mojitos,
موهيتو برتقال دراق ريد بول وسط,240.00,portakal Şeftali mojito RedBull orta,Orange peach mojito RedBull medium,Mojitos,
موهيتو برتقال دراق سفن وسط,220.00,portakal Şeftali mojito 7up orta,Orange peach mojito 7up medium,Mojitos,
موهيتو برتقال دراق صودا وسط,200.00,portakal Şeftali mojito soda orta,Orange peach mojito soda medium,Mojitos,
موهيتو دراق ريد بول وسط,240.00,Şeftali mojito RedBull orta,Peach mojito RedBull medium,Mojitos,
موهيتو دراق سفن وسط,220.00,Şeftali mojito 7up orta,Peach mojito 7up medium,Mojitos,
موهيتو دراق صودا وسط,200.00,Şeftali mojito soda orta,Peach mojito soda medium,Mojitos,
موهيتو رمان ريد بول وسط,240.00,Pomegranate mojito RedBull orta,Pomegranate mojito RedBull medium,Mojitos,
موهيتو رمان سفن وسط,220.00,Pomegranate mojito 7up orta,Pomegranate mojito 7up medium,Mojitos,
موهيتو رمان صودا وسط,200.00,Pomegranate mojito soda orta,Pomegranate mojito soda medium,Mojitos,
موهيتو زنجبيل ريد بول وسط,240.00,zencefil mojito RedBull orta,Ginger mojito RedBull medium,Mojitos,
موهيتو زنجبيل سفن وسط,220.00,zencefil mojito 7up orta,Ginger mojito 7up medium,Mojitos,
موهيتو زنجبيل صودا وسط,200.00,zencefil mojito soda orta,Ginger mojito soda medium,Mojitos,
موهيتو فريز ريد بول وسط,240.00,ÇİLEK mojito RedBull orta,Strawberry mojito RedBull medium,Mojitos,
موهيتو فريز سفن وسط,220.00,ÇİLEK mojito 7up orta,Strawberry mojito 7up medium,Mojitos,
موهيتو فريز صودا وسط,200.00,ÇİLEK mojito soda orta,Strawberry mojito soda medium,Mojitos,
موهيتو كلاسيك ريد بول وسط,240.00,Mojito classic RedBull orta,Mojito classic RedBull medium,Mojitos,
موهيتو كلاسيك سفن وسط,220.00,Mojito classic 7up orta,Mojito classic 7up medium,Mojitos,
موهيتو كلاسيك صودا وسط,200.00,Mojito classic soda orta,Mojito classic soda medium,Mojitos,
موهيتو كيوي ريد بول وسط,240.00,Kiwi mojito RedBull orta,Kiwi mojito RedBull medium,Mojitos,
موهيتو كيوي سفن وسط,220.00,Kiwi mojito 7up orta,Kiwi mojito 7up medium,Mojitos,
موهيتو كيوي صودا وسط,200.00,Kiwi mojito soda orta,Kiwi mojito soda medium,Mojitos,
موهيتو مانجو ريد بول وسط,240.00,Mango mojito RedBull orta,Mango mojito RedBull medium,Mojitos,
