Name_Ar,Price,Name_tr,Name_En,Category Name,Image
كريب بستاشيو,300.00,Antep fıstığı krep,Pistachio Crepe,Sweets,
كريب بيكو,420.00,Piko krep,Piko Crepe,Sweets,
كريب تشيز كيك,320.00,Cheesecake krep,Cheesecake Crepe,Sweets,
كريب شوكولا,300.00,Çikolata krep,Chocolate Crepe,Sweets,
كريب فواكه,400.00,Meyveli krep ,Fruit Crepe,Sweets,
كريب فوتوتشيني,350.00,Fettucine ,Fettuccine Crepe,Sweets,
كريب لوتوس,380.00,Lotus Crepe,Lotus Crepe,Sweets,
وافل اوريو,350.00,Oreo Waffle,Oreo Waffle,Sweets,
وافل بستاشيو,390.00,Antep fıstığı Waffle,Pistachio Waffle,Sweets,
وافل شوكولا,280.00,Çikolata Waffle,Chocolate Waffle,Sweets,
وافل فريز,340.00,ÇİLEKli Waffle,Strawberry Waffle,Sweets,
وافل فواكه,450.00,meyveli Waffle,Fruit Waffle,Sweets,
وافل لوتوس,450.00,Lotus Waffle,Lotus Waffle,Sweets,
وافل مارشميلو,300.00,Marshmallow Waffle,Marshmallow Waffle,Sweets,
بان كيك اوريو,320.00,Oreo Pancake,Oreo Pancake,Sweets,
بان كيك بستاشيو,350.00,Antep fıstığı Pancake,Pistachio Pancake,Sweets,
بان كيك تيرامسو,320.00,Tiramisu Pancake,Tiramisu Pancake,Sweets,
بان كيك شوكولا,300.00,Chocolate Pancake,Chocolate Pancake,Sweets,
بان كيك فواكه,450.00,Fruit Pancake,Fruit Pancake,Sweets,
بان كيك لوتوس,400.00,Lotus Pancake,Lotus Pancake,Sweets,
ميني بان كيك اوريو,350.00,Mini Oreo Pancake,Mini Oreo Pancake,Sweets,
ميني بان كيك بستاشيو,320.00,Mini Antep fıstığı Pancake,Mini Pistachio Pancake,Sweets,
ميني بان كيك شوكولا,300.00,Mini Çikolatalı Pancake,Mini Chocolate Pancake,Sweets,
ميني بان كيك فواكه,450.00,Mini meyveli  Pancake,Mini Fruit Pancake,Sweets,
ميني بان كيك لوتوس,360.00,Mini Lotus Pancake,Mini Lotus Pancake,Sweets,
ميني بان كيك ميكس بيري,350.00,Mixed Berry Pancake,Mixed Berry Pancake,Sweets,
